query,label,optimization_success,ues_bounds,ues_final_bound,optimization_time,ues_join_path
"SELECT COUNT(*) FROM movie_info AS mi JOIN title AS t ON t.id = mi.movie_id AND t.production_year > 1990 AND mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'USA', 'American') JOIN (SELECT k.id AS k_id, mk.keyword_id AS mk_keyword_id, mk.movie_id AS mk_movie_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword LIKE '%sequel%') AS k_mk ON t.id = k_mk.mk_movie_id AND k_mk.mk_movie_id = mi.movie_id",3c,True,"[{""join"": [""title AS t"", ""movie_info AS mi""], ""bound"": 1136348, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk""], ""bound"": 7480087, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk"", ""title AS t"", ""movie_info AS mi""], ""bound"": 1109075648, ""input_bounds"": [7480087, 1136348]}]",1109075648,1.154144,mi t (mk k)
"SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.id = mi_idx.info_type_id AND it.info = 'rating' AND mi_idx.info > '5.0' JOIN title AS t ON t.id = mi_idx.movie_id AND t.production_year > 2005 JOIN (SELECT k.id AS k_id, mk.keyword_id AS mk_keyword_id, mk.movie_id AS mk_movie_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword LIKE '%sequel%') AS k_mk ON t.id = k_mk.mk_movie_id AND k_mk.mk_movie_id = mi_idx.movie_id",4a,True,"[{""join"": [""info_type AS it"", ""movie_info_idx AS mi_idx""], ""bound"": 789155, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk""], ""bound"": 7480087, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk"", ""title AS t"", ""info_type AS it"", ""movie_info_idx AS mi_idx""], ""bound"": 14478248, ""input_bounds"": [7480087, 789155]}]",14478248,0.428292,mi_idx it t (mk k)
"SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.id = mi_idx.info_type_id AND it.info = 'rating' AND mi_idx.info > '9.0' JOIN title AS t ON t.id = mi_idx.movie_id AND t.production_year > 2010 JOIN (SELECT k.id AS k_id, mk.keyword_id AS mk_keyword_id, mk.movie_id AS mk_movie_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword LIKE '%sequel%') AS k_mk ON t.id = k_mk.mk_movie_id AND k_mk.mk_movie_id = mi_idx.movie_id",4b,True,"[{""join"": [""info_type AS it"", ""movie_info_idx AS mi_idx""], ""bound"": 36186, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk""], ""bound"": 7480087, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk"", ""title AS t"", ""info_type AS it"", ""movie_info_idx AS mi_idx""], ""bound"": 14478248, ""input_bounds"": [7480087, 36186]}]",14478248,0.113449,mi_idx it t (mk k)
"SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.id = mi_idx.info_type_id AND it.info = 'rating' AND mi_idx.info > '2.0' JOIN title AS t ON t.id = mi_idx.movie_id AND t.production_year > 1990 JOIN (SELECT k.id AS k_id, mk.keyword_id AS mk_keyword_id, mk.movie_id AS mk_movie_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword LIKE '%sequel%') AS k_mk ON t.id = k_mk.mk_movie_id AND k_mk.mk_movie_id = mi_idx.movie_id",4c,True,"[{""join"": [""info_type AS it"", ""movie_info_idx AS mi_idx""], ""bound"": 789155, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk""], ""bound"": 7480087, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk"", ""title AS t"", ""info_type AS it"", ""movie_info_idx AS mi_idx""], ""bound"": 14478248, ""input_bounds"": [7480087, 789155]}]",14478248,0.005143,mi_idx it t (mk k)
"SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.id = mc.company_type_id AND ct.kind = 'production companies' AND mc.note LIKE '%(theatrical)%' AND mc.note LIKE '%(France)%' JOIN title AS t ON t.id = mc.movie_id AND t.production_year > 2005 JOIN movie_info AS mi ON t.id = mi.movie_id AND mc.movie_id = mi.movie_id AND mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German') JOIN info_type AS it ON it.id = mi.info_type_id",5a,True,"[{""join"": [""company_type AS ct"", ""movie_companies AS mc""], ""bound"": 37852, ""input_bounds"": []}, {""join"": [""info_type AS it"", ""movie_info AS mi"", ""title AS t"", ""company_type AS ct"", ""movie_companies AS mc""], ""bound"": 34954990, ""input_bounds"": [231490, 37852]}]",34954990,0.20363,mc ct t mi it
"SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.id = mc.company_type_id AND ct.kind = 'production companies' AND mc.note LIKE '%(VHS)%' AND mc.note LIKE '%(USA)%' AND mc.note LIKE '%(1994)%' JOIN title AS t ON t.id = mc.movie_id AND t.production_year > 2010 JOIN movie_info AS mi ON t.id = mi.movie_id AND mc.movie_id = mi.movie_id AND mi.info IN ('USA', 'America') JOIN info_type AS it ON it.id = mi.info_type_id",5b,True,"[{""join"": [""company_type AS ct"", ""movie_companies AS mc""], ""bound"": 1866, ""input_bounds"": []}, {""join"": [""info_type AS it"", ""movie_info AS mi"", ""title AS t"", ""company_type AS ct"", ""movie_companies AS mc""], ""bound"": 5592402, ""input_bounds"": [904858, 1866]}]",5592402,1.213599,mc ct t mi it
"SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.id = mc.company_type_id AND ct.kind = 'production companies' AND mc.note NOT LIKE '%(TV)%' AND mc.note LIKE '%(USA)%' JOIN title AS t ON t.id = mc.movie_id AND t.production_year > 1990 JOIN movie_info AS mi ON t.id = mi.movie_id AND mc.movie_id = mi.movie_id AND mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'USA', 'American') JOIN info_type AS it ON it.id = mi.info_type_id",5c,True,"[{""join"": [""company_type AS ct"", ""movie_companies AS mc""], ""bound"": 428192, ""input_bounds"": []}, {""join"": [""info_type AS it"", ""movie_info AS mi"", ""title AS t"", ""company_type AS ct"", ""movie_companies AS mc""], ""bound"": 171588548, ""input_bounds"": [1136348, 428192]}]",171588548,0.232101,mc ct t mi it
"SELECT COUNT(*) FROM cast_info AS ci JOIN name AS n ON n.id = ci.person_id AND n.name LIKE '%Downey%Robert%' JOIN title AS t ON t.id = ci.movie_id AND t.production_year > 2010 JOIN (SELECT k.id AS k_id, mk.keyword_id AS mk_keyword_id, mk.movie_id AS mk_movie_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword = 'marvel-cinematic-universe') AS k_mk ON t.id = k_mk.mk_movie_id AND ci.movie_id = k_mk.mk_movie_id",6a,True,"[{""join"": [""name AS n"", ""cast_info AS ci""], ""bound"": 59876, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk""], ""bound"": 7480087, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk"", ""title AS t"", ""name AS n"", ""cast_info AS ci""], ""bound"": 58438976, ""input_bounds"": [7480087, 59876]}]",58438976,2.190149,ci n t (mk k)
"SELECT COUNT(*) FROM cast_info AS ci JOIN name AS n ON n.id = ci.person_id AND n.name LIKE '%Downey%Robert%' JOIN title AS t ON t.id = ci.movie_id AND t.production_year > 2014 JOIN (SELECT k.id AS k_id, mk.keyword_id AS mk_keyword_id, mk.movie_id AS mk_movie_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence')) AS k_mk ON t.id = k_mk.mk_movie_id AND ci.movie_id = k_mk.mk_movie_id",6b,True,"[{""join"": [""name AS n"", ""cast_info AS ci""], ""bound"": 59876, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk""], ""bound"": 7480087, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk"", ""title AS t"", ""name AS n"", ""cast_info AS ci""], ""bound"": 58438976, ""input_bounds"": [7480087, 59876]}]",58438976,0.202603,ci n t (mk k)
"SELECT COUNT(*) FROM cast_info AS ci JOIN name AS n ON n.id = ci.person_id AND n.name LIKE '%Downey%Robert%' JOIN title AS t ON t.id = ci.movie_id AND t.production_year > 2014 JOIN (SELECT k.id AS k_id, mk.keyword_id AS mk_keyword_id, mk.movie_id AS mk_movie_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword = 'marvel-cinematic-universe') AS k_mk ON t.id = k_mk.mk_movie_id AND ci.movie_id = k_mk.mk_movie_id",6c,True,"[{""join"": [""name AS n"", ""cast_info AS ci""], ""bound"": 59876, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk""], ""bound"": 7480087, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk"", ""title AS t"", ""name AS n"", ""cast_info AS ci""], ""bound"": 58438976, ""input_bounds"": [7480087, 59876]}]",58438976,0.004162,ci n t (mk k)
"SELECT COUNT(*) FROM cast_info AS ci JOIN name AS n ON n.id = ci.person_id AND n.name LIKE '%Downey%Robert%' JOIN title AS t ON t.id = ci.movie_id AND t.production_year > 2000 JOIN (SELECT k.id AS k_id, mk.keyword_id AS mk_keyword_id, mk.movie_id AS mk_movie_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence')) AS k_mk ON t.id = k_mk.mk_movie_id AND ci.movie_id = k_mk.mk_movie_id",6d,True,"[{""join"": [""name AS n"", ""cast_info AS ci""], ""bound"": 59876, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk""], ""bound"": 7480087, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk"", ""title AS t"", ""name AS n"", ""cast_info AS ci""], ""bound"": 58438976, ""input_bounds"": [7480087, 59876]}]",58438976,0.003925,ci n t (mk k)
"SELECT COUNT(*) FROM cast_info AS ci JOIN name AS n ON n.id = ci.person_id AND n.name LIKE '%Downey%Robert%' JOIN title AS t ON t.id = ci.movie_id AND t.production_year > 2000 JOIN (SELECT k.id AS k_id, mk.keyword_id AS mk_keyword_id, mk.movie_id AS mk_movie_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword = 'marvel-cinematic-universe') AS k_mk ON t.id = k_mk.mk_movie_id AND ci.movie_id = k_mk.mk_movie_id",6e,True,"[{""join"": [""name AS n"", ""cast_info AS ci""], ""bound"": 59876, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk""], ""bound"": 7480087, ""input_bounds"": []}, {""join"": [""keyword AS k"", ""movie_keyword AS mk"", ""title AS t"", ""name AS n"", ""cast_info AS ci""], ""bound"": 58438976, ""input_bounds"": [7480087, 59876]}]",58438976,0.004282,ci n t (mk k)
"SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence') JOIN title AS t ON t.id = mk.movie_id AND t.production_year > 2000 JOIN cast_info AS ci ON t.id = ci.movie_id AND ci.movie_id = mk.movie_id JOIN name AS n ON n.id = ci.person_id",6f,True,"[{""join"": [""keyword AS k"", ""movie_keyword AS mk""], ""bound"": 706256, ""input_bounds"": []}, {""join"": [""name AS n"", ""cast_info AS ci"", ""title AS t"", ""keyword AS k"", ""movie_keyword AS mk""], ""bound"": 1230297952, ""input_bounds"": [63475827, 706256]}]",1230297952,0.003079,mk k t ci n
"SELECT COUNT(*) FROM person_info AS pi JOIN info_type AS it ON it.id = pi.info_type_id AND it.info = 'mini biography' AND pi.note = 'Volker Boehm' JOIN name AS n ON n.id = pi.person_id AND n.name_pcode_cf BETWEEN 'A' AND 'F' AND (n.gender = 'm' OR n.gender = 'f' AND n.name LIKE 'B%') JOIN aka_name AS an ON n.id = an.person_id AND pi.person_id = an.person_id AND an.name LIKE '%a%' JOIN cast_info AS ci ON ci.person_id = n.id AND pi.person_id = ci.person_id AND an.person_id = ci.person_id JOIN title AS t ON t.id = ci.movie_id AND t.production_year BETWEEN 1980 AND 1995 JOIN (SELECT lt.id AS lt_id, ml.linked_movie_id AS ml_linked_movie_id, ml.link_type_id AS ml_link_type_id FROM movie_link AS ml JOIN link_type AS lt ON lt.id = ml.link_type_id AND lt.link = 'features') AS lt_ml ON lt_ml.ml_linked_movie_id = t.id AND ci.movie_id = lt_ml.ml_linked_movie_id",7a,True,"[{""join"": [""info_type AS it"", ""person_info AS pi""], ""bound"": 58, ""input_bounds"": []}, {""join"": [""aka_name AS an"", ""name AS n"", ""info_type AS it"", ""person_info AS pi""], ""bound"": 4930, ""input_bounds"": [982327, 58]}, {""join"": [""title AS t"", ""cast_info AS ci"", ""aka_name AS an"", ""name AS n"", ""info_type AS it"", ""person_info AS pi""], ""bound"": 73797170, ""input_bounds"": [63475827, 4930]}, {""join"": [""link_type AS lt"", ""movie_link AS ml""], ""bound"": 29997, ""input_bounds"": []}, {""join"": [""link_type AS lt"", ""movie_link AS ml"", ""title AS t"", ""cast_info AS ci"", ""aka_name AS an"", ""name AS n"", ""info_type AS it"", ""person_info AS pi""], ""bound"": 9667429270, ""input_bounds"": [29997, 73797170]}]",9667429270,3.013706,pi it n an ci t (ml lt)
"SELECT COUNT(*) FROM person_info AS pi JOIN info_type AS it ON it.id = pi.info_type_id AND it.info = 'mini biography' AND pi.note = 'Volker Boehm' JOIN name AS n ON n.id = pi.person_id AND n.name_pcode_cf LIKE 'D%' AND n.gender = 'm' JOIN aka_name AS an ON n.id = an.person_id AND pi.person_id = an.person_id AND an.name LIKE '%a%' JOIN cast_info AS ci ON ci.person_id = n.id AND pi.person_id = ci.person_id AND an.person_id = ci.person_id JOIN title AS t ON t.id = ci.movie_id AND t.production_year BETWEEN 1980 AND 1984 JOIN (SELECT lt.id AS lt_id, ml.linked_movie_id AS ml_linked_movie_id, ml.link_type_id AS ml_link_type_id FROM movie_link AS ml JOIN link_type AS lt ON lt.id = ml.link_type_id AND lt.link = 'features') AS lt_ml ON lt_ml.ml_linked_movie_id = t.id AND ci.movie_id = lt_ml.ml_linked_movie_id",7b,True,"[{""join"": [""info_type AS it"", ""person_info AS pi""], ""bound"": 58, ""input_bounds"": []}, {""join"": [""aka_name AS an"", ""name AS n"", ""info_type AS it"", ""person_info AS pi""], ""bound"": 4930, ""input_bounds"": [982327, 58]}, {""join"": [""title AS t"", ""cast_info AS ci"", ""aka_name AS an"", ""name AS n"", ""info_type AS it"", ""person_info AS pi""], ""bound"": 73797170, ""input_bounds"": [63475827, 4930]}, {""join"": [""link_type AS lt"", ""movie_link AS ml""], ""bound"": 29997, ""input_bounds"": []}, {""join"": [""link_type AS lt"", ""movie_link AS ml"", ""title AS t"", ""cast_info AS ci"", ""aka_name AS an"", ""name AS n"", ""info_type AS it"", ""person_info AS pi""], ""bound"": 9667429270, ""input_bounds"": [29997, 73797170]}]",9667429270,0.419688,pi it n an ci t (ml lt)
"SELECT COUNT(*) FROM movie_link AS ml JOIN link_type AS lt ON lt.id = ml.link_type_id AND lt.link IN ('references', 'referenced in', 'features', 'featured in') JOIN title AS t ON ml.linked_movie_id = t.id AND t.production_year BETWEEN 1980 AND 2010 JOIN cast_info AS ci ON t.id = ci.movie_id AND ci.movie_id = ml.linked_movie_id JOIN name AS n ON ci.person_id = n.id AND n.name_pcode_cf BETWEEN 'A' AND 'F' AND (n.gender = 'm' OR n.gender = 'f' AND n.name LIKE 'A%') JOIN aka_name AS an ON n.id = an.person_id AND an.person_id = ci.person_id AND an.name IS NOT NULL AND (an.name LIKE '%a%' OR an.name LIKE 'A%') JOIN person_info AS pi ON n.id = pi.person_id AND pi.person_id = an.person_id AND pi.person_id = ci.person_id AND pi.note IS NOT NULL JOIN info_type AS it ON it.id = pi.info_type_id AND it.info = 'mini biography'",7c,True,"[{""join"": [""link_type AS lt"", ""movie_link AS ml""], ""bound"": 29997, ""input_bounds"": []}, {""join"": [""name AS n"", ""cast_info AS ci"", ""title AS t"", ""link_type AS lt"", ""movie_link AS ml""], ""bound"": 52254774, ""input_bounds"": [63475827, 29997]}, {""join"": [""aka_name AS an"", ""name AS n"", ""cast_info AS ci"", ""title AS t"", ""link_type AS lt"", ""movie_link AS ml""], ""bound"": 4441655790, ""input_bounds"": [999800, 52254774]}, {""join"": [""info_type AS it"", ""person_info AS pi"", ""aka_name AS an"", ""name AS n"", ""cast_info AS ci"", ""title AS t"", ""link_type AS lt"", ""movie_link AS ml""], ""bound"": 3246581931580, ""input_bounds"": [167374, 4441655790]}]",3246581931580,0.880148,ml lt t ci n an pi it
SELECT COUNT(*) FROM movie_companies AS mc JOIN company_name AS cn ON mc.company_id = cn.id AND cn.country_code = '[jp]' AND mc.note LIKE '%(Japan)%' AND mc.note NOT LIKE '%(USA)%' JOIN title AS t ON t.id = mc.movie_id JOIN cast_info AS ci ON ci.movie_id = t.id AND ci.movie_id = mc.movie_id AND ci.note = '(voice: English version)' JOIN role_type AS rt ON ci.role_id = rt.id AND rt.role = 'actress' JOIN name AS n1 ON n1.id = ci.person_id AND n1.name LIKE '%Yo%' AND n1.name NOT LIKE '%Yu%' JOIN aka_name AS an1 ON an1.person_id = n1.id AND an1.person_id = ci.person_id,8a,True,"[{""join"": [""company_name AS cn"", ""movie_companies AS mc""], ""bound"": 96595, ""input_bounds"": []}, {""join"": [""name AS n1"", ""role_type AS rt"", ""cast_info AS ci"", ""title AS t"", ""company_name AS cn"", ""movie_companies AS mc""], ""bound"": 28439944, ""input_bounds"": [188344, 96595]}, {""join"": [""aka_name AS an1"", ""name AS n1"", ""role_type AS rt"", ""cast_info AS ci"", ""title AS t"", ""company_name AS cn"", ""movie_companies AS mc""], ""bound"": 2417395240, ""input_bounds"": [1312273, 28439944]}]",2417395240,9.005815,mc cn t ci rt n1 an1
